k,G1,G2
0,1.0,1.0
1,-0.5772156649015329,-0.5772156649015315
2,1.978111990655945,1.9781119906559432
3,-5.444874456485319,-5.44487445648531
4,23.56147408402561,23.561474084025583
5,-117.83940826837748,-117.83940826837733
6,NaN,715.0673625273184
7,NaN,-5019.848872629852
8,NaN,40243.62157333573
9,NaN,-362526.2891146549
10,NaN,3.627042412756892e6
11,NaN,-3.990708415143132e7
12,NaN,4.7894329176518273e8
13,NaN,-6.226641351546061e9
14,NaN,8.717563381070836e10
